fic,date,country,currency,mportret,mportretx
JPN,2023-04-28,JAPAN,JPY,0.027465,0.0273976045
JPN,2023-05-31,JAPAN,JPY,0.0317933302,0.0316501097
JPN,2023-06-30,JAPAN,JPY,0.0753767404,0.073896852
JPN,2023-07-31,JAPAN,JPY,0.0146868288,0.014551573
JPN,2023-08-31,JAPAN,JPY,0.0046097632,0.0041840439
JPN,2023-09-29,JAPAN,JPY,0.0048015589,-0.003763109
JPN,2023-10-31,JAPAN,JPY,-0.029399368,-0.029467242
JPN,2023-11-30,JAPAN,JPY,0.054245957,0.0541306709
JPN,2023-12-29,JAPAN,JPY,-0.003045415,-0.004758363
JPN,2024-01-31,JAPAN,JPY,0.073322148,0.073194894
JPN,2024-02-29,JAPAN,JPY,0.0486628221,0.0482184848
JPN,2024-03-29,JAPAN,JPY,0.0428246803,0.032797475
JPN,2024-04-30,JAPAN,JPY,-0.014417634,-0.014466635
JPN,2024-05-31,JAPAN,JPY,0.0053178672,0.0051351964
JPN,2024-06-28,JAPAN,JPY,0.0150948067,0.013798241
JPN,2024-07-31,JAPAN,JPY,-0.00415042,-0.00427528
JPN,2024-08-30,JAPAN,JPY,-0.024404458,-0.024809316
JPN,2024-09-30,JAPAN,JPY,-0.01424464,-0.023069125
JPN,2024-10-31,JAPAN,JPY,0.0169747579,0.0168979621
JPN,2024-11-29,JAPAN,JPY,-0.007304051,-0.007407592
JPN,2024-12-30,JAPAN,JPY,0.0412787974,0.0396650338
